               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032632,            0.032176,           0.0037875,             0.85596,             0.78563,             0.87883,             0.62187,            0.030978,            0.022547,            0.012787,           0.0066673,           0.0066673,           0.0066673
                  36,            0.033328,             0.03225,           0.0028301,              0.8582,              0.7914,             0.88268,             0.60376,             0.03231,            0.023067,           0.0096258,           0.0065693,           0.0065693,           0.0065693
                  37,            0.032897,            0.031287,           0.0033257,             0.84044,             0.79241,             0.86788,             0.60327,            0.031453,            0.022976,            0.010067,           0.0064713,           0.0064713,           0.0064713
                  38,            0.030818,            0.030502,           0.0037237,             0.88241,             0.76288,             0.87246,             0.63064,            0.030957,            0.022528,           0.0099579,           0.0063733,           0.0063733,           0.0063733
                  39,            0.032111,            0.031396,           0.0027912,             0.86095,             0.77695,             0.87288,             0.64149,            0.029673,            0.022596,           0.0097197,           0.0062752,           0.0062752,           0.0062752
                  40,            0.031026,            0.031402,           0.0031914,             0.85435,             0.77603,             0.87929,             0.63394,            0.029308,            0.022458,            0.010208,           0.0061772,           0.0061772,           0.0061772
                  41,            0.030752,            0.030087,           0.0032872,              0.8143,              0.7968,             0.87315,             0.62578,            0.030449,            0.022643,             0.01158,           0.0060792,           0.0060792,           0.0060792
                  42,            0.030156,            0.030384,            0.002945,             0.87107,             0.75496,             0.87761,               0.629,            0.029426,            0.022244,            0.011049,           0.0059812,           0.0059812,           0.0059812
                  43,            0.030587,            0.030873,           0.0028893,             0.83934,             0.79968,             0.86945,             0.60661,            0.031585,            0.022236,            0.011008,           0.0058832,           0.0058832,           0.0058832
                  44,            0.031674,            0.029919,           0.0032925,             0.82227,             0.81345,             0.88672,             0.63594,             0.02936,            0.021886,            0.010129,           0.0057851,           0.0057851,           0.0057851
                  45,             0.03113,            0.029131,            0.002922,             0.80871,             0.79949,             0.87281,             0.63212,            0.029062,            0.022257,            0.012124,           0.0056871,           0.0056871,           0.0056871
                  46,            0.030573,            0.031251,           0.0034839,             0.83055,             0.81406,             0.88302,             0.63154,            0.028558,            0.021857,            0.010747,           0.0055891,           0.0055891,           0.0055891
                  47,            0.030732,            0.029508,           0.0022662,             0.84523,             0.79705,             0.88933,              0.6339,            0.028795,              0.0221,            0.009802,           0.0054911,           0.0054911,           0.0054911
                  48,            0.030511,            0.031289,           0.0025744,             0.87081,             0.77195,             0.89386,             0.65079,            0.028297,            0.022022,           0.0099523,           0.0053931,           0.0053931,           0.0053931
                  49,            0.029869,            0.030091,           0.0020497,             0.79062,             0.85218,             0.88243,             0.66322,            0.027549,             0.02231,            0.011065,            0.005295,            0.005295,            0.005295
